full_path,line,fixed_line
Bad Kleinen,18,RE18
Saarbrücken Hbf,18,RE18
Dresden Neustadt|Coswig Bz Dresden,18,RE18
Heilbronn Hbf|Weinsberg|Öhringen Hbf,18,RE18
Tübingen Hbf|Reutlingen Hbf|Metzingen,18,RE18
Aachen Hbf|Aachen West|Herzogenrath,18,RE18
Senftenberg|Sedlitz Ost|Neupetershain,18,RE18
Großenhain Cottb Bf|Priestewitz|Weinböhla Hp|Coswig Bz Dresden,18,RE18
Heerlen|Landgraaf|Eygelshoven Markt|Herzogenrath|Aachen West,18,RE18
Bad Friedrichshall Hbf|Untergriesheim|Herbolzheim Jagst|Neudenau|Siglingen|Züttlingen|Möckmühl,18,RE18
Stuttgart Hbf|Ludwigsburg|Bietigheim Bissingen|Besigheim|Walheim Württ|Kirchheim Neckar|Lauffen Neckar,18,RE18
Maastricht|Meerssen|Valkenburg NL|Heerlen|Landgraaf|Eygelshoven Markt|Herzogenrath|Aachen West,18,RE18
Stuttgart Hbf|Stuttgart Bad Cannstatt|Esslingen Neckar|Plochingen|Wendlingen Neckar|Oberboihingen|Nürtingen|Metzingen,18,RE18
Heilbronn Hbf|Neckarsulm|Bad Friedrichshall Hbf|Untergriesheim|Herbolzheim Jagst|Neudenau|Siglingen|Züttlingen|Möckmühl,18,RE18
Stuttgart Hbf|Stuttgart Bad Cannstatt|Esslingen Neckar|Plochingen|Wendlingen Neckar|Oberboihingen|Nürtingen|Metzingen Württ|Reutlingen Hbf,18,RE18
Stuttgart Hbf|Stuttgart Bad Cannstatt|Esslingen Neckar|Plochingen|Wendlingen Neckar|Oberboihingen|Nürtingen|Bempflingen|Metzingen,18,RE18
Eijsden|Maastricht Randwyck|Maastricht|Meerssen|Valkenburg NL|Heerlen|Landgraaf|Eygelshoven Markt|Herzogenrath|Aachen West,18,RE18
Stuttgart Hbf|Stuttgart Bad Cannstatt|Esslingen Neckar|Plochingen|Wernau Neckar|Wendlingen Neckar|Oberboihingen|Nürtingen|Bempflingen|Metzingen,18,RE18
Tübingen Hbf|Reutlingen Hbf|Metzingen Württ|Bempflingen|Nürtingen|Oberboihingen|Wendlingen Neckar|Plochingen|Esslingen Neckar|Stuttgart Untertürkheim Pbf,18,RE18
Stuttgart Hbf|Stuttgart Bad Cannstatt|Esslingen Neckar|Plochingen|Wendlingen Neckar|Oberboihingen|Nürtingen|Bempflingen|Metzingen Württ|Reutlingen Hbf,18,RE18
Heilbronn Hbf|Heilbronn Sülmertor|Neckarsulm|Bad Friedrichshall Hbf|Untergriesheim|Herbolzheim Jagst|Neudenau|Siglingen|Züttlingen|Möckmühl,18,MEX18
Stuttgart Hbf|Stuttgart Bad Cannstatt|Esslingen Neckar|Plochingen|Wernau Neckar|Wendlingen Neckar|Oberboihingen|Nürtingen|Bempflingen|Metzingen Württ|Reutlingen Hbf,18,RE18
